路線,路線名稱,站序,中文站點名稱,經度,緯度,去回,英文站點名稱
A1,臺中國際機場-美術館,1,臺中國際機場,120.598994,24.253475,去程,Taichung Airport
A1,臺中國際機場-美術館,2,新烏日火車站,120.6144028,24.1086998,去程,Xinwuri Station
A1,臺中國際機場-美術館,3,永春東七路,120.6336379,24.14442354,去程,Yongchun E. 7th Rd.
A1,臺中國際機場-美術館,4,黎明路,120.6385517,24.14209344,去程,Liming Rd.
A1,臺中國際機場-美術館,5,文心路一段,120.647732,24.139913,去程,Wenxin Rd. Sec.1
A1,臺中國際機場-美術館,6,東興路二段,120.653556,24.14005701,去程,Dongxing Rd. Sec.2
A1,臺中國際機場-美術館,7,忠明南路,120.6582445,24.14014513,去程,Zhongming S. Rd.
A1,臺中國際機場-美術館,8,美術館,120.6631529,24.14018429,去程,National Taiwan Museum of Fine Arts
A1,臺中國際機場-美術館,1,美術館,120.6635284,24.1401745,回程,National Taiwan Museum of Fine Arts
A1,臺中國際機場-美術館,2,忠明南路,120.6581855,24.14021366,回程,Zhongming S. Rd.
A1,臺中國際機場-美術館,3,東興路二段,120.6534648,24.14013534,回程,Dongxing Rd. Sec.2
A1,臺中國際機場-美術館,4,文心路一段,120.647781,24.140211,回程,Wenxin Rd. Sec.1
A1,臺中國際機場-美術館,5,黎明路,120.6386161,24.14205427,回程,Liming Rd.
A1,臺中國際機場-美術館,6,永春東七路,120.6337452,24.14450186,回程,Yongchun E. 7th Rd.
A1,臺中國際機場-美術館,7,新烏日火車站,120.6144028,24.1086998,回程,Xinwuri Station
A1,臺中國際機場-美術館,8,臺中國際機場,120.598994,24.253475,回程,Taichung Airport
300,靜宜大學 - 臺中火車站 - 靜宜大學,1,靜宜大學,120.5767429,24.22576437,去程,Providence University
300,靜宜大學 - 臺中火車站 - 靜宜大學,2,晉江寮,120.579107,24.221884,去程,Jinjiangliao
300,靜宜大學 - 臺中火車站 - 靜宜大學,3,弘光科技大學,120.580384,24.217273,去程,Hungkuang University
300,靜宜大學 - 臺中火車站 - 靜宜大學,4,正英路,120.581296,24.209876,去程,Zhengying Rd.
300,靜宜大學 - 臺中火車站 - 靜宜大學,5,坪頂,120.585339,24.18617,去程,Pingding
300,靜宜大學 - 臺中火車站 - 靜宜大學,6,東海別墅,120.593501,24.1827,去程,Donghai Villa
300,靜宜大學 - 臺中火車站 - 靜宜大學,7,榮總/東海大學,120.603586,24.182891,去程,Taichung Veterans General Hospital/Tunghai Uni.
300,靜宜大學 - 臺中火車站 - 靜宜大學,8,玉門路,120.610319,24.18442,去程,Yumen Rd.
300,靜宜大學 - 臺中火車站 - 靜宜大學,9,澄清醫院,120.617198,24.182043,去程,Cheng Ching Hospital
300,靜宜大學 - 臺中火車站 - 靜宜大學,10,中港新城,120.6195602,24.18121338,去程,Zhonggang New Community
300,靜宜大學 - 臺中火車站 - 靜宜大學,11,福安,120.62337,24.179203,去程,Fu-an
300,靜宜大學 - 臺中火車站 - 靜宜大學,12,秋紅谷,120.639691,24.168639,去程,Maple Valley Park
300,靜宜大學 - 臺中火車站 - 靜宜大學,13,新光/遠百,120.643356,24.165829,去程,Shin Kong Mitsukoshi/Top City Dept. Store
300,靜宜大學 - 臺中火車站 - 靜宜大學,14,市政府,120.6492,24.1629,去程,Taichung City Hall
300,靜宜大學 - 臺中火車站 - 靜宜大學,15,頂何厝,120.655864,24.159149,去程,Dinghecuo
300,靜宜大學 - 臺中火車站 - 靜宜大學,16,忠明國小,120.659237,24.157285,去程,Chungming Elementary School
300,靜宜大學 - 臺中火車站 - 靜宜大學,17,科博館,120.663188,24.155167,去程,National Museum of Natural Science
300,靜宜大學 - 臺中火車站 - 靜宜大學,18,中正國小,120.667208,24.152746,去程,Chung-Cheng Elementary School
300,靜宜大學 - 臺中火車站 - 靜宜大學,19,茄苳腳,120.671574,24.149241,去程,Qiedongjiao
300,靜宜大學 - 臺中火車站 - 靜宜大學,20,臺灣大道原子街口,120.6746267,24.146705,去程,Taiwan Boulevard-Yuanzi Intersection
300,靜宜大學 - 臺中火車站 - 靜宜大學,21,臺灣大道中華路口,120.6766567,24.14472,去程,Taiwan Boulevard-Zhonghua Intersection
300,靜宜大學 - 臺中火車站 - 靜宜大學,22,仁愛醫院,120.678216,24.143662,去程,Ren-Ai Hospital
300,靜宜大學 - 臺中火車站 - 靜宜大學,23,第二市場(臺灣大道),120.680085,24.14197833,去程,2nd Market (Taiwan Boulevard)
300,靜宜大學 - 臺中火車站 - 靜宜大學,24,彰化銀行(臺灣大道),120.682535,24.139985,去程,Chang Hwa Bank (Taiwan Boulevard)
300,靜宜大學 - 臺中火車站 - 靜宜大學,25,第一廣場,120.683578,24.138967,去程,First Square
300,靜宜大學 - 臺中火車站 - 靜宜大學,1,第一廣場,120.6836772,24.13878423,回程,First Square
300,靜宜大學 - 臺中火車站 - 靜宜大學,2,第二市場(臺灣大道),120.680085,24.14197833,回程,2nd Market (Taiwan Boulevard)
300,靜宜大學 - 臺中火車站 - 靜宜大學,3,仁愛醫院,120.678216,24.143662,回程,Ren-Ai Hospital
300,靜宜大學 - 臺中火車站 - 靜宜大學,4,臺灣大道中華路口,120.6766567,24.14472,回程,Taiwan Boulevard-Zhonghua Intersection
300,靜宜大學 - 臺中火車站 - 靜宜大學,5,臺灣大道原子街口,120.6746267,24.146705,回程,Taiwan Boulevard-Yuanzi Intersection
300,靜宜大學 - 臺中火車站 - 靜宜大學,6,茄苳腳,120.670966,24.15001,回程,Qiedongjiao
