路線,路線名稱,站序,中文站點名稱,人數
A1,臺中國際機場-美術館,1,臺中國際機場,0
A1,臺中國際機場-美術館,2,新烏日火車站,0
A1,臺中國際機場-美術館,3,永春東七路,0
A1,臺中國際機場-美術館,4,黎明路,0
A1,臺中國際機場-美術館,5,文心路一段,0
A1,臺中國際機場-美術館,6,東興路二段,0
A1,臺中國際機場-美術館,7,忠明南路,0
A1,臺中國際機場-美術館,8,美術館,0
A1,臺中國際機場-美術館,1,美術館,0
A1,臺中國際機場-美術館,2,忠明南路,0
A1,臺中國際機場-美術館,3,東興路二段,0
A1,臺中國際機場-美術館,4,文心路一段,0
A1,臺中國際機場-美術館,5,黎明路,0
A1,臺中國際機場-美術館,6,永春東七路,0
A1,臺中國際機場-美術館,7,新烏日火車站,0
A1,臺中國際機場-美術館,8,臺中國際機場,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,1,靜宜大學,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,2,晉江寮,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,3,弘光科技大學,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,4,正英路,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,5,坪頂,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,6,東海別墅,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,7,榮總/東海大學,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,8,玉門路,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,9,澄清醫院,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,10,中港新城,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,11,福安,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,12,秋紅谷,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,13,新光/遠百,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,14,市政府,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,15,頂何厝,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,16,忠明國小,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,17,科博館,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,18,中正國小,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,19,茄苳腳,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,20,臺灣大道原子街口,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,21,臺灣大道中華路口,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,22,仁愛醫院,0
300,靜宜大學 - 臺中火車站 - 靜宜大學,23,第二市場(臺灣大道),0
300,靜宜大學 - 臺中火車站 - 靜宜大學,24,彰化銀行(臺灣大道),0
300,靜宜大學 - 臺中火車站 - 靜宜大學,25,第一廣場,0
